GBK	Record_Type_x	Record_Number_x	Full_Name_x	Class	Category	Organism	Taxonomy	Description	Record_Type_y	Record_Number_y	CC	Family	Full_Name_y
sepi_clade_34_contig_17.region001	region	1	sepi_clade_34_contig_17.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_17, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_34_contig_17.region001.gbk_region_1
scap_clade_201_contig_1.region002	region	2	scap_clade_201_contig_1.region002.gbk_region_2	T3PKS.terpene	terpene.PKS	.	Unknown	contig_1, whole genome shotgun sequence	region	2	490	FAM_00010	scap_clade_201_contig_1.region002.gbk_region_2
scap_clade_201_contig_6.region001	region	1	scap_clade_201_contig_6.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_6, whole genome shotgun sequence	region	1	1	FAM_00020	scap_clade_201_contig_6.region001.gbk_region_1
scap_clade_203_contig_1.region002	region	2	scap_clade_203_contig_1.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_1, whole genome shotgun sequence	region	2	506	FAM_00033	scap_clade_203_contig_1.region002.gbk_region_2
sepi_clade_38_contig_27.region001	region	1	sepi_clade_38_contig_27.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_27, whole genome shotgun sequence	region	1	282	FAM_00027	sepi_clade_38_contig_27.region001.gbk_region_1
saur_clade_306_contig_19.region001	region	1	saur_clade_306_contig_19.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_19, whole genome shotgun sequence	region	1	9	FAM_00001	saur_clade_306_contig_19.region001.gbk_region_1
sepi_clade_52_contig_15.region001	region	1	sepi_clade_52_contig_15.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_15, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_52_contig_15.region001.gbk_region_1
shom_clade_505_contig_5.region001	region	1	shom_clade_505_contig_5.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	61	FAM_00023	shom_clade_505_contig_5.region001.gbk_region_1
sepi_clade_54_contig_16.region001	region	1	sepi_clade_54_contig_16.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_16, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_54_contig_16.region001.gbk_region_1
sepi_clade_19_contig_23.region001	region	1	sepi_clade_19_contig_23.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_23, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_19_contig_23.region001.gbk_region_1
sepi_clade_49_contig_22.region001	region	1	sepi_clade_49_contig_22.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_22, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_49_contig_22.region001.gbk_region_1
sepi_clade_30_contig_49.region001	region	1	sepi_clade_30_contig_49.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_49, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_30_contig_49.region001.gbk_region_1
sepi_clade_38_contig_18.region001	region	1	sepi_clade_38_contig_18.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_18, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_38_contig_18.region001.gbk_region_1
sepi_clade_63_contig_11.region001	region	1	sepi_clade_63_contig_11.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_11, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_63_contig_11.region001.gbk_region_1
sepi_clade_14_contig_1.region001	region	1	sepi_clade_14_contig_1.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_1, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_14_contig_1.region001.gbk_region_1
sepi_clade_10_contig_3.region001	region	1	sepi_clade_10_contig_3.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_10_contig_3.region001.gbk_region_1
sepi_clade_86_contig_25.region001	region	1	sepi_clade_86_contig_25.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_25, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_86_contig_25.region001.gbk_region_1
sepi_clade_22_contig_20.region001	region	1	sepi_clade_22_contig_20.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_20, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_22_contig_20.region001.gbk_region_1
sepi_clade_42_contig_2.region001	region	1	sepi_clade_42_contig_2.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_2, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_42_contig_2.region001.gbk_region_1
sepi_clade_59_contig_24.region001	region	1	sepi_clade_59_contig_24.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_24, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_59_contig_24.region001.gbk_region_1
sepi_clade_70_contig_20.region001	region	1	sepi_clade_70_contig_20.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_20, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_70_contig_20.region001.gbk_region_1
sepi_clade_21_contig_5.region001	region	1	sepi_clade_21_contig_5.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_5, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_21_contig_5.region001.gbk_region_1
sepi_clade_60_contig_17.region001	region	1	sepi_clade_60_contig_17.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_17, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_60_contig_17.region001.gbk_region_1
sepi_clade_49_contig_93.region001	region	1	sepi_clade_49_contig_93.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_93, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_49_contig_93.region001.gbk_region_1
sepi_clade_62_contig_9.region001	region	1	sepi_clade_62_contig_9.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	1	21	FAM_00004	sepi_clade_62_contig_9.region001.gbk_region_1
sepi_clade_64_contig_7.region002	region	2	sepi_clade_64_contig_7.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_64_contig_7.region002.gbk_region_2
shom_clade_508_contig_2.region001	region	1	shom_clade_508_contig_2.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_2, whole genome shotgun sequence	region	1	29	FAM_00041	shom_clade_508_contig_2.region001.gbk_region_1
shom_clade_502_contig_4.region001	region	1	shom_clade_502_contig_4.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_4, whole genome shotgun sequence	region	1	13	FAM_00002	shom_clade_502_contig_4.region001.gbk_region_1
mlut_clade_704_contig_38.region001	region	1	mlut_clade_704_contig_38.region001.gbk_region_1	betalactone	other	.	Unknown	contig_38, whole genome shotgun sequence	region	1	606	FAM_00011	mlut_clade_704_contig_38.region001.gbk_region_1
sepi_clade_5_contig_5.region001	region	1	sepi_clade_5_contig_5.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_5, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_5_contig_5.region001.gbk_region_1
sepi_clade_72_contig_15.region001	region	1	sepi_clade_72_contig_15.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_15, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_72_contig_15.region001.gbk_region_1
sepi_clade_33_contig_7.region002	region	2	sepi_clade_33_contig_7.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_33_contig_7.region002.gbk_region_2
spas_clade_401_contig_7.region001	region	1	spas_clade_401_contig_7.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_7, whole genome shotgun sequence	region	1	1	FAM_00021	spas_clade_401_contig_7.region001.gbk_region_1
sepi_clade_93_contig_24.region001	region	1	sepi_clade_93_contig_24.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_24, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_93_contig_24.region001.gbk_region_1
sepi_clade_25_contig_15.region001	region	1	sepi_clade_25_contig_15.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_15, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_25_contig_15.region001.gbk_region_1
saur_clade_302_contig_3.region001	region	1	saur_clade_302_contig_3.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	161	FAM_00032	saur_clade_302_contig_3.region001.gbk_region_1
sepi_clade_52_contig_18.region001	region	1	sepi_clade_52_contig_18.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_18, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_52_contig_18.region001.gbk_region_1
sepi_clade_39_contig_48.region001	region	1	sepi_clade_39_contig_48.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_48, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_39_contig_48.region001.gbk_region_1
sepi_clade_1_contig_16.region001	region	1	sepi_clade_1_contig_16.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_16, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_1_contig_16.region001.gbk_region_1
sepi_clade_71_contig_11.region001	region	1	sepi_clade_71_contig_11.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_11, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_71_contig_11.region001.gbk_region_1
sepi_clade_73_contig_7.region001	region	1	sepi_clade_73_contig_7.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_73_contig_7.region001.gbk_region_1
sepi_clade_55_contig_9.region002	region	2	sepi_clade_55_contig_9.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_55_contig_9.region002.gbk_region_2
sepi_clade_65_contig_5.region001	region	1	sepi_clade_65_contig_5.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_5, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_65_contig_5.region001.gbk_region_1
sepi_clade_12_contig_9.region001	region	1	sepi_clade_12_contig_9.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_12_contig_9.region001.gbk_region_1
sepi_clade_30_contig_12.region001	region	1	sepi_clade_30_contig_12.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_12, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_30_contig_12.region001.gbk_region_1
sepi_clade_41_contig_13.region001	region	1	sepi_clade_41_contig_13.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_13, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_41_contig_13.region001.gbk_region_1
sepi_clade_69_contig_28.region001	region	1	sepi_clade_69_contig_28.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_28, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_69_contig_28.region001.gbk_region_1
saur_clade_302_contig_11.region001	region	1	saur_clade_302_contig_11.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_11, whole genome shotgun sequence	region	1	1	FAM_00021	saur_clade_302_contig_11.region001.gbk_region_1
saur_clade_301_contig_13.region001	region	1	saur_clade_301_contig_13.region001.gbk_region_1	lanthipeptide-class-i	RiPP	.	Unknown	contig_13, whole genome shotgun sequence	region	1	410	FAM_00029	saur_clade_301_contig_13.region001.gbk_region_1
sepi_clade_21_contig_22.region001	region	1	sepi_clade_21_contig_22.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_22, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_21_contig_22.region001.gbk_region_1
mlut_clade_704_contig_42.region001	region	1	mlut_clade_704_contig_42.region001.gbk_region_1	RRE-containing	RiPP	.	Unknown	contig_42, whole genome shotgun sequence	region	1	698	FAM_00030	mlut_clade_704_contig_42.region001.gbk_region_1
sepi_clade_19_contig_3.region001	region	1	sepi_clade_19_contig_3.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_3, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_19_contig_3.region001.gbk_region_1
sepi_clade_60_contig_24.region001	region	1	sepi_clade_60_contig_24.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_24, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_60_contig_24.region001.gbk_region_1
sepi_clade_48_contig_21.region001	region	1	sepi_clade_48_contig_21.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_21, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_48_contig_21.region001.gbk_region_1
spas_clade_401_contig_13.region001	region	1	spas_clade_401_contig_13.region001.gbk_region_1	terpene	terpene	.	Unknown	contig_13, whole genome shotgun sequence	region	1	714	FAM_00038	spas_clade_401_contig_13.region001.gbk_region_1
sepi_clade_32_contig_7.region001	region	1	sepi_clade_32_contig_7.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_7, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_32_contig_7.region001.gbk_region_1
saur_clade_302_contig_19.region001	region	1	saur_clade_302_contig_19.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_19, whole genome shotgun sequence	region	1	9	FAM_00001	saur_clade_302_contig_19.region001.gbk_region_1
slug_clade_602_contig_3.region001	region	1	slug_clade_602_contig_3.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	726	FAM_00034	slug_clade_602_contig_3.region001.gbk_region_1
sepi_clade_30_contig_30.region001	region	1	sepi_clade_30_contig_30.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_30, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_30_contig_30.region001.gbk_region_1
sepi_clade_25_contig_11.region001	region	1	sepi_clade_25_contig_11.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_11, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_25_contig_11.region001.gbk_region_1
saur_clade_306_contig_6.region002	region	2	saur_clade_306_contig_6.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_6, whole genome shotgun sequence	region	2	21	FAM_00005	saur_clade_306_contig_6.region002.gbk_region_2
sepi_clade_20_contig_3.region002	region	2	sepi_clade_20_contig_3.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_3, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_20_contig_3.region002.gbk_region_2
sepi_clade_41_contig_20.region001	region	1	sepi_clade_41_contig_20.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_20, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_41_contig_20.region001.gbk_region_1
mlut_clade_702_contig_24.region001	region	1	mlut_clade_702_contig_24.region001.gbk_region_1	RRE-containing	RiPP	.	Unknown	contig_24, whole genome shotgun sequence	region	1	698	FAM_00030	mlut_clade_702_contig_24.region001.gbk_region_1
sepi_clade_23_contig_5.region001	region	1	sepi_clade_23_contig_5.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_23_contig_5.region001.gbk_region_1
sepi_clade_44_contig_6.region001	region	1	sepi_clade_44_contig_6.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_6, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_44_contig_6.region001.gbk_region_1
mlut_clade_702_contig_17.region001	region	1	mlut_clade_702_contig_17.region001.gbk_region_1	betalactone	other	.	Unknown	contig_17, whole genome shotgun sequence	region	1	606	FAM_00011	mlut_clade_702_contig_17.region001.gbk_region_1
sepi_clade_18_contig_40.region001	region	1	sepi_clade_18_contig_40.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_40, whole genome shotgun sequence	region	1	282	FAM_00027	sepi_clade_18_contig_40.region001.gbk_region_1
sepi_clade_61_contig_92.region001	region	1	sepi_clade_61_contig_92.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_92, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_61_contig_92.region001.gbk_region_1
sepi_clade_41_contig_6.region002	region	2	sepi_clade_41_contig_6.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_6, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_41_contig_6.region002.gbk_region_2
sepi_clade_48_contig_4.region002	region	2	sepi_clade_48_contig_4.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_4, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_48_contig_4.region002.gbk_region_2
sepi_clade_25_contig_8.region001	region	1	sepi_clade_25_contig_8.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_8, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_25_contig_8.region001.gbk_region_1
mlut_clade_701_contig_73.region001	region	1	mlut_clade_701_contig_73.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_73, whole genome shotgun sequence	region	1	790	FAM_00012	mlut_clade_701_contig_73.region001.gbk_region_1
sepi_clade_18_contig_15.region001	region	1	sepi_clade_18_contig_15.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_15, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_18_contig_15.region001.gbk_region_1
sepi_clade_8_contig_7.region001	region	1	sepi_clade_8_contig_7.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_8_contig_7.region001.gbk_region_1
sepi_clade_56_contig_59.region001	region	1	sepi_clade_56_contig_59.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_59, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_56_contig_59.region001.gbk_region_1
sepi_clade_47_contig_21.region001	region	1	sepi_clade_47_contig_21.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_21, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_47_contig_21.region001.gbk_region_1
scap_clade_201_contig_1.region001	region	1	scap_clade_201_contig_1.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_1, whole genome shotgun sequence	region	1	9	FAM_00001	scap_clade_201_contig_1.region001.gbk_region_1
shom_clade_504_contig_8.region001	region	1	shom_clade_504_contig_8.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_8, whole genome shotgun sequence	region	1	1	FAM_00022	shom_clade_504_contig_8.region001.gbk_region_1
sepi_clade_16_contig_50.region001	region	1	sepi_clade_16_contig_50.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_50, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_16_contig_50.region001.gbk_region_1
sepi_clade_43_contig_16.region001	region	1	sepi_clade_43_contig_16.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_16, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_43_contig_16.region001.gbk_region_1
sepi_clade_21_contig_13.region002	region	2	sepi_clade_21_contig_13.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_13, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_21_contig_13.region002.gbk_region_2
scap_clade_204_contig_5.region001	region	1	scap_clade_204_contig_5.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_5, whole genome shotgun sequence	region	1	506	FAM_00033	scap_clade_204_contig_5.region001.gbk_region_1
sepi_clade_48_contig_29.region001	region	1	sepi_clade_48_contig_29.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_29, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_48_contig_29.region001.gbk_region_1
sepi_clade_24_contig_10.region001	region	1	sepi_clade_24_contig_10.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_24_contig_10.region001.gbk_region_1
slug_clade_601_contig_16.region001	region	1	slug_clade_601_contig_16.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_16, whole genome shotgun sequence	region	1	1	FAM_00020	slug_clade_601_contig_16.region001.gbk_region_1
sepi_clade_68_contig_33.region001	region	1	sepi_clade_68_contig_33.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_33, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_68_contig_33.region001.gbk_region_1
sepi_clade_41_contig_6.region001	region	1	sepi_clade_41_contig_6.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_6, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_41_contig_6.region001.gbk_region_1
saur_clade_303_contig_2.region001	region	1	saur_clade_303_contig_2.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_2, whole genome shotgun sequence	region	1	209	FAM_00006	saur_clade_303_contig_2.region001.gbk_region_1
saur_clade_301_contig_1.region003	region	3	saur_clade_301_contig_1.region003.gbk_region_3	terpene	terpene	.	Unknown	contig_1, whole genome shotgun sequence	region	3	33	FAM_00036	saur_clade_301_contig_1.region003.gbk_region_3
sepi_clade_40_contig_7.region001	region	1	sepi_clade_40_contig_7.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_40_contig_7.region001.gbk_region_1
sepi_clade_31_contig_8.region001	region	1	sepi_clade_31_contig_8.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_8, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_31_contig_8.region001.gbk_region_1
sepi_clade_61_contig_17.region001	region	1	sepi_clade_61_contig_17.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_17, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_61_contig_17.region001.gbk_region_1
sepi_clade_65_contig_27.region001	region	1	sepi_clade_65_contig_27.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_27, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_65_contig_27.region001.gbk_region_1
sepi_clade_17_contig_23.region001	region	1	sepi_clade_17_contig_23.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_23, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_17_contig_23.region001.gbk_region_1
sepi_clade_30_contig_14.region001	region	1	sepi_clade_30_contig_14.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_14, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_30_contig_14.region001.gbk_region_1
sepi_clade_12_contig_25.region001	region	1	sepi_clade_12_contig_25.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_25, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_12_contig_25.region001.gbk_region_1
sepi_clade_21_contig_13.region001	region	1	sepi_clade_21_contig_13.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_13, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_21_contig_13.region001.gbk_region_1
sepi_clade_35_contig_53.region001	region	1	sepi_clade_35_contig_53.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_53, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_35_contig_53.region001.gbk_region_1
sepi_clade_46_contig_5.region001	region	1	sepi_clade_46_contig_5.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_5, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_46_contig_5.region001.gbk_region_1
sepi_clade_29_contig_12.region002	region	2	sepi_clade_29_contig_12.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_12, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_29_contig_12.region002.gbk_region_2
sepi_clade_71_contig_11.region002	region	2	sepi_clade_71_contig_11.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_11, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_71_contig_11.region002.gbk_region_2
sepi_clade_32_contig_16.region001	region	1	sepi_clade_32_contig_16.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_16, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_32_contig_16.region001.gbk_region_1
sepi_clade_66_contig_4.region001	region	1	sepi_clade_66_contig_4.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_4, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_66_contig_4.region001.gbk_region_1
sepi_clade_52_contig_9.region001	region	1	sepi_clade_52_contig_9.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_9, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_52_contig_9.region001.gbk_region_1
sepi_clade_50_contig_31.region001	region	1	sepi_clade_50_contig_31.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_31, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_50_contig_31.region001.gbk_region_1
sepi_clade_13_contig_23.region001	region	1	sepi_clade_13_contig_23.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_23, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_13_contig_23.region001.gbk_region_1
sepi_clade_56_contig_4.region001	region	1	sepi_clade_56_contig_4.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_4, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_56_contig_4.region001.gbk_region_1
sepi_clade_20_contig_4.region001	region	1	sepi_clade_20_contig_4.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_4, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_20_contig_4.region001.gbk_region_1
sepi_clade_4_contig_16.region001	region	1	sepi_clade_4_contig_16.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_16, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_4_contig_16.region001.gbk_region_1
sepi_clade_8_contig_1.region001	region	1	sepi_clade_8_contig_1.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_1, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_8_contig_1.region001.gbk_region_1
sepi_clade_49_contig_68.region001	region	1	sepi_clade_49_contig_68.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_68, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_49_contig_68.region001.gbk_region_1
sepi_clade_65_contig_12.region001	region	1	sepi_clade_65_contig_12.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_12, whole genome shotgun sequence	region	1	21	FAM_00004	sepi_clade_65_contig_12.region001.gbk_region_1
sepi_clade_68_contig_27.region001	region	1	sepi_clade_68_contig_27.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_27, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_68_contig_27.region001.gbk_region_1
sepi_clade_14_contig_1.region002	region	2	sepi_clade_14_contig_1.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_1, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_14_contig_1.region002.gbk_region_2
